[2025-10-22T21:24:38.419Z] IP: ::1 | GET /health | UA: curl/8.5.0 | Ref: Direct
[2025-10-22T21:24:54.253Z] IP: 127.0.0.1 | POST /api/reprocess | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-22T21:56:38.891Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-22T21:57:08.674Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-30T15:48:53.264Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-30T15:48:58.153Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-30T15:51:00.084Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-30T15:51:00.938Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-30T15:57:07.274Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-30T15:58:17.315Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-30T16:01:47.368Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
